Restriction Type,Parking Spaces,Times Of Operation,Maximum Stay,Tariff,Cashless Identifier,Nearest Machine,Road Name,Postcode,Controlled Parking Zone,Valid Parking Permits,Parking Bay Length Metres,Disclaimer,Easting,Northing,Longitude,Latitude,EPSG:27700 Well Known Text Geometry,EPSG:4326 Well Known Text Geometry,EPSG:27700 GeoJSON Geometry,EPSG:4326 GeoJSON Geometry,Unique Identifier,Spatial Accuracy,Last Uploaded,Location,Organisation URI
resident permit holders only,6,"mon-fri 09:00-18:30, sat 09:30-13:30",N/A,N/A,N/A,N/A,Daleham Gardens,NW3 5DA,CA-B,CA-B,30,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526698,184847,-0.174138,51.548304,"MULTILINESTRING ((526696.96 184832.16,526698.99 184832.21,526698.98 184832.48,526698.06 184862.11,526698.05 184862.3,526696.03 184862.22))","LINESTRING (-0.174156 51.548168,-0.174127 51.548168,-0.174127 51.548171,-0.17413 51.548437,-0.17413 51.548439,-0.174159 51.548439)","{""type"":""MultiLineString"",""coordinates"":[[[526696.96,184832.16],[526698.99,184832.21],[526698.98,184832.48],[526698.06,184862.11],[526698.05,184862.3],[526696.03,184862.22]]]}","{""type"":""LineString"",""coordinates"":[[-0.174156,51.548168],[-0.174127,51.548168],[-0.174127,51.548171],[-0.17413,51.548437],[-0.17413,51.548439],[-0.174159,51.548439]]}",46035565,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.548304, -0.174138)",http://opendatacommunities.org/id/london-borough-council/camden
paid-for / permit holders,1,mon-fri 08:30-18:00,2 hours,£4.83 (non-diesel) / £5.87 (diesel),14061,N/A,Erskine Road,NW1 8UT,CA-J,CA-J,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",527902,184149,-0.157035,51.541757,"MULTILINESTRING ((527904.14 184146.06,527905.33 184147.72,527899.88 184151.87,527898.7 184150.25))","LINESTRING (-0.157005 51.54173,-0.156987 51.541745,-0.157064 51.541784,-0.157082 51.541769)","{""type"":""MultiLineString"",""coordinates"":[[[527904.14,184146.06],[527905.33,184147.72],[527899.88,184151.87],[527898.7,184150.25]]]}","{""type"":""LineString"",""coordinates"":[[-0.157005,51.54173],[-0.156987,51.541745],[-0.157064,51.541784],[-0.157082,51.541769]]}",46134498,Defined By Custodian,04/08/2023 11:00:34 PM,"(51.541757, -0.157035)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,1,mon-sat 09:00-19:00,N/A,N/A,N/A,N/A,Chesterford Gardens,NW3 7DE,CA-H,CA-H,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525924,185626,-0.185009,51.555474,"MULTILINESTRING ((525922.6 185628.57,525921.34 185626.96,525926.1 185623.1,525927.27 185624.77))","LINESTRING (-0.185033 51.555499,-0.185052 51.555485,-0.184985 51.555449,-0.184967 51.555464)","{""type"":""MultiLineString"",""coordinates"":[[[525922.6,185628.57],[525921.34,185626.96],[525926.1,185623.1],[525927.27,185624.77]]]}","{""type"":""LineString"",""coordinates"":[[-0.185033,51.555499],[-0.185052,51.555485],[-0.184985,51.555449],[-0.184967,51.555464]]}",46035067,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.555474, -0.185009)",http://opendatacommunities.org/id/london-borough-council/camden
disabled (dedicated),1,at any time,N/A,N/A,N/A,N/A,Grafton Road,NW5 3LG,CA-L,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",528757,184756,-0.144485,51.54702,"MULTILINESTRING ((528758.3 184752.84,528760.08 184753.94,528756.46 184759.52,528754.73 184758.38))","LINESTRING (-0.144473 51.54699,-0.144447 51.546999,-0.144497 51.54705,-0.144523 51.54704)","{""type"":""MultiLineString"",""coordinates"":[[[528758.3,184752.84],[528760.08,184753.94],[528756.46,184759.52],[528754.73,184758.38]]]}","{""type"":""LineString"",""coordinates"":[[-0.144473,51.54699],[-0.144447,51.546999],[-0.144497,51.54705],[-0.144523,51.54704]]}",46133459,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.54702, -0.144485)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,2,"mon-fri 08:30-18:30, sat 08:30-13:30",N/A,N/A,N/A,N/A,Thanet Street,WC1H 9QG,CA-D,CA-D,11,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",530141,182597,-0.125341,51.527301,"MULTILINESTRING ((530142.39 182592.74,530143.99 182593.78,530143.89 182593.94,530138.08 182603.57,530136.38 182602.45))","LINESTRING (-0.125322 51.52726,-0.125298 51.527269,-0.125299 51.52727,-0.12538 51.527358,-0.125405 51.527349)","{""type"":""MultiLineString"",""coordinates"":[[[530142.39,182592.74],[530143.99,182593.78],[530143.89,182593.94],[530138.08,182603.57],[530136.38,182602.45]]]}","{""type"":""LineString"",""coordinates"":[[-0.125322,51.52726],[-0.125298,51.527269],[-0.125299,51.52727],[-0.12538,51.527358],[-0.125405,51.527349]]}",46043313,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.527301, -0.125341)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,6,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Parsifal Road,NW3 7BP,CA-P,CA-P,30,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525374,185527,-0.19298,51.554711,"MULTILINESTRING ((525384.56 185538.82,525383.21 185539.94,525383.11 185539.83,525363.75 185515.62,525363.67 185515.52,525365.12 185514.37))","LINESTRING (-0.192822 51.554812,-0.192841 51.554822,-0.192843 51.554822,-0.19313 51.554608,-0.193131 51.554607,-0.193111 51.554597)","{""type"":""MultiLineString"",""coordinates"":[[[525384.56,185538.82],[525383.21,185539.94],[525383.11,185539.83],[525363.75,185515.62],[525363.67,185515.52],[525365.12,185514.37]]]}","{""type"":""LineString"",""coordinates"":[[-0.192822,51.554812],[-0.192841,51.554822],[-0.192843,51.554822],[-0.19313,51.554608],[-0.193131,51.554607],[-0.193111,51.554597]]}",46043991,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.554711, -0.19298)",http://opendatacommunities.org/id/london-borough-council/camden
disabled (dedicated),1,at any time,N/A,N/A,N/A,N/A,Maygrove Road,NW6 2EP,CA-Q,N/A,6,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",525083,184768,-0.197439,51.547953,"MULTILINESTRING ((525086.26 184766.73,525086.51 184768.72,525080.33 184769.53,525080.08 184767.54))","LINESTRING (-0.197397 51.547939,-0.197392 51.547957,-0.197481 51.547966,-0.197486 51.547948)","{""type"":""MultiLineString"",""coordinates"":[[[525086.26,184766.73],[525086.51,184768.72],[525080.33,184769.53],[525080.08,184767.54]]]}","{""type"":""LineString"",""coordinates"":[[-0.197397,51.547939],[-0.197392,51.547957],[-0.197481,51.547966],[-0.197486,51.547948]]}",46126866,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.547953, -0.197439)",http://opendatacommunities.org/id/london-borough-council/camden
car club,1,at any time,N/A,N/A,N/A,N/A,Belsize Crescent,NW3 5QT,CA-B,N/A,5,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",526773,185035,-0.172985,51.549976,"MULTILINESTRING ((526772.14 185032.67,526774.16 185032.54,526774.25 185037.7,526772.09 185037.81))","LINESTRING (-0.173 51.549954,-0.172971 51.549952,-0.172968 51.549998,-0.172999 51.55)","{""type"":""MultiLineString"",""coordinates"":[[[526772.14,185032.67],[526774.16,185032.54],[526774.25,185037.7],[526772.09,185037.81]]]}","{""type"":""LineString"",""coordinates"":[[-0.173,51.549954],[-0.172971,51.549952],[-0.172968,51.549998],[-0.172999,51.55]]}",46035117,Defined By Custodian,04/08/2023 11:00:32 PM,"(51.549976, -0.172985)",http://opendatacommunities.org/id/london-borough-council/camden
resident permit holders only,2,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Churchway,NW1 1LT,CA-G,CA-G,15,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529754,182837,-0.130821,51.529547,"MULTILINESTRING ((529756.86 182830.17,529754.75 182829.97,529754.52 182833.56,529753.49 182839.9,529752.38 182845.04,529754.74 182845.24))","LINESTRING (-0.130789 51.529482,-0.130819 51.529481,-0.130821 51.529513,-0.130834 51.529571,-0.130848 51.529617,-0.130814 51.529618)","{""type"":""MultiLineString"",""coordinates"":[[[529756.86,182830.17],[529754.75,182829.97],[529754.52,182833.56],[529753.49,182839.9],[529752.38,182845.04],[529754.74,182845.24]]]}","{""type"":""LineString"",""coordinates"":[[-0.130789,51.529482],[-0.130819,51.529481],[-0.130821,51.529513],[-0.130834,51.529571],[-0.130848,51.529617],[-0.130814,51.529618]]}",46049338,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.529547, -0.130821)",http://opendatacommunities.org/id/london-borough-council/camden
permit holders only,4,mon-fri 08:30-18:30,N/A,N/A,N/A,N/A,Patshull Road,NW5 2LE,CA-M,CA-M,15,"The information provider and/ or licensor are not liable for any errors or omissions contained within this dataset and shall not be liable for any loss, injury or damage caused by its use.",529283,184769,-0.136911,51.547011,"MULTILINESTRING ((529274.73 184770.2,529274.7 184768.46,529290.23 184766.89,529290.42 184768.67))","LINESTRING (-0.137023 51.547028,-0.137024 51.547012,-0.136801 51.546994,-0.136797 51.54701)","{""type"":""MultiLineString"",""coordinates"":[[[529274.73,184770.2],[529274.7,184768.46],[529290.23,184766.89],[529290.42,184768.67]]]}","{""type"":""LineString"",""coordinates"":[[-0.137023,51.547028],[-0.137024,51.547012],[-0.136801,51.546994],[-0.136797,51.54701]]}",46048639,Defined By Custodian,04/08/2023 11:00:33 PM,"(51.547011, -0.136911)",http://opendatacommunities.org/id/london-borough-council/camden
