Entity,Code,Year,Share of children with an active hepatitis B infection
Afghanistan,AFG,2015,0.5
Algeria,DZA,2015,0.22
Algeria,DZA,2018,0.06
Algeria,DZA,2020,0.08
Andorra,AND,2015,0.08
Angola,AGO,2015,4.85
Angola,AGO,2018,3.84
Angola,AGO,2020,4.57
Antigua and Barbuda,ATG,2015,0.38
Argentina,ARG,2015,0.01
Armenia,ARM,2015,0.25
Australia,AUS,2015,0.15
Australia and New Zealand (UN SDG),,2015,0.33
Australia and New Zealand (UN SDG),,2018,0.17
Australia and New Zealand (UN SDG),,2020,0.23
Austria,AUT,2015,0.32
Azerbaijan,AZE,2015,0.27
Bahamas,BHS,2015,0.31
Bahrain,BHR,2015,0.18
Bangladesh,BGD,2015,1.38
Barbados,BRB,2015,0.34
Belarus,BLR,2015,0.2
Belgium,BEL,2015,0.18
Belize,BLZ,2015,1.49
Benin,BEN,2015,5.55
Benin,BEN,2018,2.51
Benin,BEN,2020,2.87
Bhutan,BTN,2015,0.81
Bolivia,BOL,2015,0.2
Bosnia and Herzegovina,BIH,2015,0.3
Botswana,BWA,2015,0.19
Botswana,BWA,2018,0.19
Botswana,BWA,2020,0.18
Brazil,BRA,2015,0.07
Brunei,BRN,2015,0.34
Bulgaria,BGR,2015,0.31
Burkina Faso,BFA,2015,4.29
Burkina Faso,BFA,2018,1.92
Burkina Faso,BFA,2020,1.66
Burundi,BDI,2015,2.59
Burundi,BDI,2018,0.62
Burundi,BDI,2020,1.35
Cambodia,KHM,2015,0.56
Cameroon,CMR,2015,1.9
Cameroon,CMR,2018,1.72
Cameroon,CMR,2020,1.75
Canada,CAN,2015,1.03
Cape Verde,CPV,2015,0.71
Cape Verde,CPV,2018,0.2
Cape Verde,CPV,2020,0.26
Central African Republic,CAF,2015,6.62
Central African Republic,CAF,2018,3.86
Central African Republic,CAF,2020,3.75
Central and Southern Asia (UN SDG),,2015,0.85
Central and Southern Asia (UN SDG),,2018,0.25
Central and Southern Asia (UN SDG),,2020,0.31
Chad,TCD,2015,3.08
Chad,TCD,2018,12.6
Chad,TCD,2020,10.79
Chile,CHL,2015,0.28
China,CHN,2015,0.83
Colombia,COL,2015,0.21
Comoros,COM,2015,1.96
Comoros,COM,2018,1.02
Comoros,COM,2020,1.16
Congo,COG,2015,4.11
Congo,COG,2018,1.98
Congo,COG,2020,2.56
Cook Islands,COK,2015,0.22
Costa Rica,CRI,2015,0.17
Cote d'Ivoire,CIV,2015,3.04
Cote d'Ivoire,CIV,2018,2.94
Cote d'Ivoire,CIV,2020,3.44
Croatia,HRV,2015,0.11
Cuba,CUB,2015,0.12
Cyprus,CYP,2015,0.6
Czechia,CZE,2015,0.39
Democratic Republic of Congo,COD,2015,1.43
Democratic Republic of Congo,COD,2018,1.64
Democratic Republic of Congo,COD,2020,3.28
Denmark,DNK,2015,0.79
Djibouti,DJI,2015,0.64
Dominica,DMA,2015,0.39
Dominican Republic,DOM,2015,0.34
East Timor,TLS,2015,0.87
Eastern and South-Eastern Asia (UN SDG),,2015,0.95
Eastern and South-Eastern Asia (UN SDG),,2018,0.32
Eastern and South-Eastern Asia (UN SDG),,2020,0.48
Ecuador,ECU,2015,0.32
Egypt,EGY,2015,0.8
El Salvador,SLV,2015,0.57
Equatorial Guinea,GNQ,2015,8.66
Equatorial Guinea,GNQ,2018,7.32
Equatorial Guinea,GNQ,2020,6.07
Eritrea,ERI,2015,0.74
Eritrea,ERI,2018,0.45
Eritrea,ERI,2020,1.02
Estonia,EST,2015,0.36
Eswatini,SWZ,2015,0.85
Eswatini,SWZ,2018,4.69
Eswatini,SWZ,2020,0.83
Ethiopia,ETH,2015,2.61
Ethiopia,ETH,2018,1.47
Ethiopia,ETH,2020,1.59
Europe and Northern America (UN SDG),,2015,0.3
Europe and Northern America (UN SDG),,2018,0.16
Europe and Northern America (UN SDG),,2020,0.21
Fiji,FJI,2015,0.34
Finland,FIN,2015,1.05
France,FRA,2015,0.01
