Entity,Code,Year,Working hours per worker
Argentina,ARG,1972,1999.3278
Argentina,ARG,1973,1996
Argentina,ARG,1974,1992.8422
Argentina,ARG,1975,1989.6893
Argentina,ARG,1976,1986.5415
Argentina,ARG,1977,1983.3987
Argentina,ARG,1978,1980.2609
Argentina,ARG,1979,1977.1279
Argentina,ARG,1980,1974
Argentina,ARG,1981,1961.2301
Argentina,ARG,1982,1948.5427
Argentina,ARG,1983,1935.9375
Argentina,ARG,1984,1923.4137
Argentina,ARG,1985,1910.9711
Argentina,ARG,1986,1898.6089
Argentina,ARG,1987,1886.3267
Argentina,ARG,1988,1874.1238
Argentina,ARG,1989,1862
Argentina,ARG,1990,1850
Argentina,ARG,1991,1837.9608
Argentina,ARG,1992,1826
Argentina,ARG,1993,1850.3378
Argentina,ARG,1994,1875
Argentina,ARG,1995,1881.9612
Argentina,ARG,1996,1888.9481
Argentina,ARG,1997,1895.961
Argentina,ARG,1998,1903
Argentina,ARG,1999,1887.285
Argentina,ARG,2000,1862.1362
Argentina,ARG,2001,1811.1526
Argentina,ARG,2002,1710.0365
Argentina,ARG,2003,1713.5746
Argentina,ARG,2004,1743.3999
Argentina,ARG,2005,1771.6785
Argentina,ARG,2006,1775.9203
Argentina,ARG,2007,1787.5447
Argentina,ARG,2008,1789.765
Argentina,ARG,2009,1751.6228
Argentina,ARG,2010,1760.2247
Argentina,ARG,2011,1760.2303
Argentina,ARG,2012,1736.1034
Argentina,ARG,2013,1725.8735
Argentina,ARG,2014,1705.4283
Argentina,ARG,2015,1703.4685
Argentina,ARG,2016,1646.5126
Argentina,ARG,2017,1648.8129
Argentina,ARG,2018,1638.4401
Argentina,ARG,2019,1609.069
Australia,AUS,1870,2792
Australia,AUS,1880,2647
Australia,AUS,1890,2501
Australia,AUS,1900,2385
Australia,AUS,1913,2214
Australia,AUS,1929,2186
Australia,AUS,1938,2109
Australia,AUS,1950,2170.9233
Australia,AUS,1951,2150.847
Australia,AUS,1952,2130.956
Australia,AUS,1953,2111.2493
Australia,AUS,1954,2091.7246
Australia,AUS,1955,2072.3806
Australia,AUS,1956,2053.2153
Australia,AUS,1957,2034.2275
Australia,AUS,1958,2015.4152
Australia,AUS,1959,1996.7769
Australia,AUS,1960,1978.3108
Australia,AUS,1961,1974.6611
Australia,AUS,1962,1971.0183
Australia,AUS,1963,1967.3821
Australia,AUS,1964,1963.7526
Australia,AUS,1965,1960.1299
Australia,AUS,1966,1956.5138
Australia,AUS,1967,1952.9043
Australia,AUS,1968,1949.3015
Australia,AUS,1969,1945.7054
Australia,AUS,1970,1942.116
Australia,AUS,1971,1923.4795
Australia,AUS,1972,1903.1487
Australia,AUS,1973,1889.8066
Australia,AUS,1974,1907.0665
Australia,AUS,1975,1893.8304
Australia,AUS,1976,1904.2075
Australia,AUS,1977,1906.0077
Australia,AUS,1978,1906.8549
Australia,AUS,1979,1912.2551
Australia,AUS,1980,1909.7628
Australia,AUS,1981,1894.8094
Australia,AUS,1982,1870.6583
Australia,AUS,1983,1857.0142
Australia,AUS,1984,1878.1584
Australia,AUS,1985,1869.2603
Australia,AUS,1986,1873.8745
Australia,AUS,1987,1871.6334
Australia,AUS,1988,1867.8535
Australia,AUS,1989,1877.7809
Australia,AUS,1990,1863.9597
Australia,AUS,1991,1850.485
Australia,AUS,1992,1846.5441
Australia,AUS,1993,1863.7845
Australia,AUS,1994,1869.9487
Australia,AUS,1995,1870.3296
Australia,AUS,1996,1863.823
Australia,AUS,1997,1861.0985
Australia,AUS,1998,1846.6295
Australia,AUS,1999,1848.475
Australia,AUS,2000,1847.4801
Australia,AUS,2001,1814.1289
Australia,AUS,2002,1808.1211
Australia,AUS,2003,1801.5743
Australia,AUS,2004,1799.3641
Australia,AUS,2005,1797.0736
Australia,AUS,2006,1786.9062
Australia,AUS,2007,1786.252
Australia,AUS,2008,1786.4766
Australia,AUS,2009,1757.9604
Australia,AUS,2010,1763.3228
Australia,AUS,2011,1765.2896
Australia,AUS,2012,1757.2185
Australia,AUS,2013,1756.2897
